Unnamed: 0,questions,answers,similarity_score
98,What is the maximum number of cuttings permissible in pieces of 3' and over in No. 1 Common?,"The maximum number of cuttings permissible in pieces of 3' and over in No. 1 Common can be determined by adding the surface measure of the sizes and dividing by three, dropping fractions.",0.9285171161793556
99,What are the categories of No. 2 Common?,No. 2 Common is divided into two categories: No. 2A Common (clear cuttings) and No. 2B Common (sound cuttings).,0.9101527832721114
100,What is the required yield for a surface measure of 8/12 (66-2/38)?,The required yield is 1 cutting.,0.8842494772997906
101,How many cuttings are required for a surface measure of l' and 3'?,1 cutting is required.,0.9631847106245365
102,How many cuttings are required for a surface measure of l' and 5'?,2 cuttings are required.,0.9569107065131761
103,How many cuttings are required for a surface measure of l' and 7'?,3 cuttings are required.,0.9530176808793298
104,How many cuttings are required for a surface measure of l' and 9'?,4 cuttings are required.,0.9574827266465956
105,How many cuttings are required for a surface measure of l' and 11'?,5 cuttings are required.,0.9645299873849282
106,How many cuttings are required for a surface measure of l' and 13'?,6 cuttings are required.,0.9645299873849282
107,How many cuttings are required for a surface measure of l' and 14' and over?,6 cuttings are required.,0.9522243816252436
108,What is the maximum number of cuttings permissible for pieces of 2' and over?,"The maximum number of cuttings is obtained by dividing the filler measure by two, dropping fractions, except that greater than 6 cuttings should be allowed.",0.9681420183807377
109,What is the maximum number of cuttings permissible for pieces from 2' to 7'?,The maximum number of cuttings permissible is not mentioned.,0.9681420183807377
110,What does No. 38 Common admit in terms of sound curings?,No. 38 Common admits pieces that will yield 3*12 (25%) sound curings not less than 1-1/2 wide and containing not less than 36 square inches.,0.8512463436567886
111,What is the definition of Below Grade?,Lumber poorer in quality than the lowest grade described in these rules shall be called and reported as Below Grade.,0.7875261406266314
112,What is included in the grading of Sound Wormy?,"Sound Wormy shall grade not below No. 1 Common except that the natural characteristics of warm holes, bird packs, stain, sound knots not exceeding 3*4 in diameter are admitted.",0.9842928592776528
113,What kind of defects are admitted in the cutting of Sound Wormy?,Other sound defects which do not exceed in extent as damage the defects described are admitted in the cutting.,0.89225821063736
114,What is included in the grading of Sound Wormy unless otherwise specified?,"Unless otherwise specified, Sound Wormy shall include the full product of the log in No. 1 Common and Better Sound Wormy.",0.9842928592776528
115,What does the note indicate about the quality of lumber in regards to Sound Wormy?,"The note states that if lower is perceived under specifications containing the new Sound Wormy, the quality of the coming shell should be as defined in the Standard Guide of Sound Wormy.",0.8826248599079338
116,What is the required yield for lumber purchased under specifications combining the norm 'worm holes no defect' with the names of standard grades?,"The required yield shall be the same as specified under Standard Grades, except that worm holes, bird packs, and streaks are admitted without limit.",0.8794221228741865
117,What is the width requirement for No. 38 Common?,No. 38 Common requires pieces that are 1-1/2 wide and containing at least 36 square inches.,0.941256963040426
118,What is the length range for No. 38 Common?,No. 38 Common has a length range of 4 to 16.,0.941256963040426
119,What is the maximum diameter allowed for sound knots in Sound Wormy grading?,Sound Wormy grading allows sound knots not exceeding 3*4 in diameter.,0.88229000093752
120,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
121,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
122,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
123,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
124,What are some common uses of Virginia pine wood?,"Virginia pine wood is commonly used for construction, paneling, and furniture.",0.9999999999999998
125,How long does it take for Virginia pine to reach maturity?,Virginia pine takes about 30 to 50 years to reach maturity.,0.9999999999999988
126,What is the scientific name for Virginia pine?,The scientific name for Virginia pine is Pinus virginiana.,1.0000000000000004
127,What is the natural range of Virginia pine?,Virginia pine is native to the United States and is commonly found in the southeastern states.,0.9999992094685641
128,Is Virginia pine a deciduous or an evergreen tree?,"Virginia pine is an evergreen tree, meaning it retains its needles year-round.",0.9354943039516499
129,What are the preferred growing conditions for Virginia pine?,Virginia pine prefers well-drained sandy or loamy soils and full sun exposure.,0.9414771953505531
130,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
131,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
132,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,0.9999686280427487
133,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
134,What is the growth rate of Virginia pine?,Virginia pine has a moderate growth rate.,1.0
135,Is Virginia pine tolerant of shade?,"No, Virginia pine is intolerant of shade.",0.9999999999999994
136,Which region is Virginia pine commonly found in?,Virginia pine is commonly found in the southern states.,0.9859058008144639
137,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.,1.0000000000000007
138,What are the uses of Virginia pine wood?,"Virginia pine wood is commonly used for construction, paneling, and furniture.",0.9886979784424021
139,Is Virginia pine a type of hardwood or softwood?,Virginia pine is a type of softwood.,0.967231986084624
140,What are the characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999993
141,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
142,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
143,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
144,What is the grading requirement for the reverse side of the Superiors and Cabinet grade face?,The reverse side grading should not be below Cabinet grade (66 2/3% or 8/12) for both Superiors and Cabinet grade face.,0.911426646946557
145,What restrictions are there for pieces with pith?,No piece with pith exceeding twice the surface measure in feet shall be admitted.,0.9645239935902018
146,What restrictions are there for pieces with splits?,No piece with splits exceeding twice the surface measure of the piece in feet shall be admitted.,0.9105557297614099
147,What are the ware limitations for Superiors grade on the face side?,Ware or its equivalent should be limited to 1/2 the length in the aggregate on either edge or 1/12 the surface measure of the piece.,0.911426646946557
148,What are the ware limitations for Cabinet grade on the reverse side?,"Ware or its equivalence should not exceed one fourth the width by three-fourths the length in the aggregate, or pieces may alternately have wane one-third the width by one-half the length in the aggregate. Width of the wane may be divided and show on both edges.",0.9046371807978939
149,What is the maximum side bond allowed for a piece?,"No piece with side bond exceeding 5/8"" shall be admitted.",0.8599964078418734
150,What is the yield for the No.3 / ECONO FRAME GRADE boards?,The yield for No.3 / ECONO FRAME GRADE boards is 33 1/3% structurally sound cuttings.,0.9317265537653774
151,What is the minimum size for curing in the No.3 / ECONO FRAME GRADE boards?,"The minimum size for curing in the No.3 / ECONO FRAME GRADE boards is 3"" wide by 2"" long.",0.9317265537653774
152,What defects are admitted in the No.3 / ECONO FRAME GRADE boards?,"The No.3 / ECONO FRAME GRADE boards admit stains, season checks, slight surface shake, bark pockets, firm right, worm holes, sound knots, and other holes and unsound knots that do not exceed certain dimensions.",0.9284632179648007
153,What is the required width for Pacific Coast Maple boards?,"The required width for Pacific Coast Maple boards is 4"" and wider.",0.9770163119418512
154,What is the required length for Pacific Coast Maple boards?,The required length for Pacific Coast Maple boards is 5' and longer.,0.9770163119418512
155,What is the maximum diameter allowed for knots in Pacific Coast Maple boards?,"Knots or their equivalent, not exceeding 1/4"" in their greatest dimension, are allowed in Pacific Coast Maple boards.",0.9651636722083832
156,What is the maximum diameter allowed for unsound centers in knots of Pacific Coast Maple boards?,"Unsound centers not over 1/8"" in diameter are allowed in knots of Pacific Coast Maple boards.",0.9651636722083832
157,What is the purpose of growing Virginia pine in southern states?,Virginia pine is often grown for Christmas trees in southern states.,0.9988421247820171
158,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
159,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
160,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
161,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
162,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
163,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,0.9999999999999984
164,What is the requirement for full thickness lumber when dry?,"When dry, lumber must be full thickness allowing 10% 1/16"" scan.",0.8862416038194403
165,What is the flatness requirement for the entire board?,"The entire board must be flat enough to surface both sides at 1/4"" less than nominal thickness, no skip allowed.",0.8721340350954155
166,How are defects or blemishes not described in the grading rules considered?,They will be considered as equivalent to known defects according to their damaging effect upon the piece in the grade under consideration.,0.8584481486412989
167,What is the definition of a defect in forestry?,"A defect is any irregularity occurring in or on wood that may lower some of its strength, durability, or utility values.",0.9145828715428698
168,What is the definition of a blemish in forestry?,"A blemish is anything not classified as a defect, marking the appearance of the wood.",0.9145828715428698
169,What is a check in forestry?,"A check is a lengthwise separation of the wood, which occurs usually across the rings of annual growth.",0.9999999999999996
170,What is decay?,Decay is a disintegration of the wood substance due to the action of fungi.,0.9322074642682778
171,What is incipient decay?,Incipient decay is the early stage of decay in which the wood has not softened or changed perceptibly.,1.0
172,What is advanced decay?,"Advanced decay is the older stage of decay in which the wood has become soft, spongy, and discolored.",0.9109204761266367
173,What is a peck?,A peck is a form of decay that appears as a hole or pocket surrounded by sound wood.,0.9397932746735197
174,What is the size of a pin worm hole?,"A pin worm hole is over 1/16"" in diameter.",0.9374712815248302
175,What is the size of a medium worm hole?,"A medium worm hole is between 1/16"" and 1/4"" in diameter.",0.9579018934958295
176,What is the size of a large worm hole?,"A large worm hole is 1/4"" in diameter.",0.9579018934958295
177,How are knots classified?,"Knots are classified according to size, form, quality, and occurrence.",0.9010352512943763
178,What is the size of a pin knot?,"A pin knot is over 1/2"" in diameter.",0.9407677044064455
179,What is the size of a small knot?,"A small knot is between 1/2"" and 3/4"" in diameter.",0.9407677044064455
180,What is a medium knot?,"A medium knot is one over 3/4"", but not more than 1-1/2"" in diameter.",0.9101458896552985
181,What is a large knot?,"A large knot is one over 1-1/2"" in diameter.",0.9118797528192877
182,How would you describe a round knot?,A round knot is one oval or circular in form.,0.9511194645528872
183,What is a spike knot?,A spike knot is a branch or limb saved in a lengthwise direction.,0.8983432379600247
184,How is a round knot characterized?,"A round knot is solid across its face, as hard as the surrounding wood, and shown no indications of decay. It may vary in color from red to black.",0.9511194645528872
185,What is the impact of an unsound knot on the board?,An unsound knot will not impair the strength of the board.,0.8557328335404097
186,How can you identify a decayed knot?,A decayed knot is softer than the surrounding wood and contains advanced decay.,0.8584844911550558
187,What is a tight knot?,A tight knot is one to fixed by growth or position that it will firmly retain its place in the piece.,0.9259935078680168
188,Define an inner-right knot.,An inner-right knot is one whose rings of annual growth are completely intergrown with those of the surrounding wood.,0.8795437114532962
189,What is a water-tight knot?,"A water-tight knot is one whose rings of annual growth are completely intergrown with those of the surrounding wood on one surface of the piece, and which is sound on that surface.",0.9259935078680168
190,What is a slight shake?,A slight shake is one with more than a perceptable opening but not over 1/32 in width.,0.9100387627838216
191,What is a medium shake?,A medium shake is one with an opening over 1/32 but not more than 1/8 wide.,0.9079972876079481
192,What is an open shake?,An open shake is one with an opening over 1/8 wide.,0.9240222546526099
193,What is a through shake?,A through shake is one extending from one surface through the pierce to the opposite surface or to an adjoining surface.,0.9159295990334091
194,What is a round shake?,A round shake is one completely encircling the pink.,0.9240222546526099
195,What is a cup shake?,A cup shake is one that does not completely encircle the pink.,0.9120946589280856
196,What is a split?,A split is a lengthwise separation of the wood due to the tearing apart of the wood cells.,0.9461158480080836
197,What is a short split?,A short split is one not exceeding in length either the width of a piece or one-sixth its length.,0.9461158480080836
198,What is a medium split?,A medium split is one exceeding in length the width of a piece but does not exceed one-half its length.,0.9153957307681178
199,What is a long split?,A long split is one exceeding in length one-half of the length of the pierce.,0.9300662229853351
200,What is stain or discoloration?,"Stain is a discoloration, occurring on or in lumber, of any color other than the natural color of the pierce, on which it appears. It is classified as light, medium, and heavy.",0.8897271904836689
201,What is a light stain?,Light stain is a slight difference in color which will not materially impair the appearance of the pierce if given a natural finish.,0.9259780991027532
202,What is a medium stain?,"Medium stain is a pronounced difference in color which, although it does not obscure the grain of the wood, would customarily be objectionable in a natural but not in a poisoned finish.",0.9108460575300568
203,What is a heavy stain?,Heavy stain is a difference in color so pronounced as practically to obscure the grain of the wood.,0.9259780991027532
204,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine.",0.9999999999999998
205,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.,0.9999999999999992
206,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.,1.0
207,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.,1.0
208,What is the minimum size board for No. 1 Common?,The minimum size board for No. 1 Common is 4 inches x 8 inches.,0.9452701483429944
209,What are the uses of No. 1 Common?,"No. 1 Common is useful for general construction, finish, trim, pattern stock, and other applications.",0.9799194912952657
210,What is the primary use of No. 1 Common?,No. 1 Common is primarily used as the poor face of a Select and Better board.,0.9799194912952657
211,What manufacturing defects are allowed in No. 1 Common?,No. 1 Common allows medium manufacturing defects as defined in certain paragraphs.,0.8773971678329053
212,What is the maximum average diameter of knots allowed in No. 1 Common?,The maximum average diameter of knots allowed in No. 1 Common varies based on the width of the piece.,0.9119714491392418
213,What is the height range of a Virginia pine?,The height range of a Virginia pine is 40 to 60 feet.,0.9843526468494931
214,What are the characteristics of No. 2 Common grade?,"No. 2 Common grade admits unlimited diameter, sound or unsound knees, pink knees, and slight peck. It must be suitable for ordinary fencing or dimension purposes.",0.9115913899873014
215,What is the minimum size board required for No. 2 Common grade?,"The minimum size board for No. 2 Common grade is 4"" x 6"" on even 2' increments.",0.9452701483429944
216,What is the limit for checks that do not impair the strength of the piece in No. 2 Common grade?,"Checks not extending through the piece shall be admitted without limit, as long as they do not impair the strength of the piece.",0.9082240807196713
217,What is the limit for shake in No. 2 Common grade?,Shake is limited to one face only and no more than 10% of the length of the piece in the aggregate.,0.9082240807196713
218,What is the maximum allowable ware on the board face in No. 2 Common grade?,Ware on board face should not exceed 1/2 the thickness or 1/3 the length and 1/6 the width of the piece.,0.9199674129980712
219,What is the requirement for ware on the poor face in No. 2 Common grade?,"Ware on the poor face must not extend through the full thickness of the piece, leaving an 1/8"" ruling edge on the good face.",0.8920071413894738
220,What is admitted in terms of splits in No. 2 Common grade?,Split equal to the length of the piece in inches is admitted.,0.9108641419683748
