,questions,answers
76,What is Virginia pine intolerant of?,Virginia pine is intolerant of shade.
77,What is the growth rate of Virginia pine?,Virginia pine has a moderate growth rate.
78,What type of pine is Virginia pine?,Virginia pine is a hard pine.
79,What is Virginia pine often grown for?,Virginia pine is often grown for Christmas trees.
80,What are the standard grades of hardwood lumber?,"The standard grades of hardwood lumber are Clear Face Curings Grades, Sound Curings Grades, FAS, No. 2B Cumman, F1F, No. 3B Cumman, Sekcest, Sound Wormy, No. 1 Common, No. 2A Cumman, No. 3A Cumman."
81,Can Selecs and No. 1 Common be combined as one grade?,"Yes, Selecs and No. 1 Common can be combined as one grade."
82,"Can No. 2A Common and No. 2B Common be combined as one grade, No. 2 Common?","Yes, No. 2A Common and No. 2B Common can be combined as one grade, No. 2 Common, and when specified it includes all the No. 2A Common that the logs produce."
83,"Can No. 3A Common and No. 3B Common be combined as one grade, No. 3 Common?","Yes, No. 3A Common and No. 3B Common can be combined as one grade, No. 3 Common, and when specified it includes all the No. 3A Common that the logs produce."
84,What is the minimum width requirement for hardwood lumber?,The minimum width requirement is 6 inches and wider.
85,What is the range of lengths allowed for hardwood lumber?,The range of lengths allowed is 8 to 16 feet.
86,What is the minimum size for cutting hardwood lumber?,"The minimum size for cutting is 4 inches wide by 5 inches long, or 3 inches wide by variable length."
87,What is the limitation on pieces that contain pith?,"No piece shall be admitted which contains pith, boxed or showing, exceeding in the aggregate in inches in length the surface measure in feet."
88,What is the maximum allowable waney edge on a piece of hardwood lumber?,The wane shall not exceed on either edge of the piece over one-half the length in the aggregate.
89,What is the limitation on splers of hardwood lumber?,"Splers shall not exceed in the aggregate in inches in length twice the surface measure of the piece, except when one foot or shorter and covered by Paragraph 59."
90,What are the characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
91,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
92,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
93,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
94,What is the required curing area for No. 1 Common pieces?,No. 1 Common pieces require a curing area of minimum 4deg wide by 2deg long or 3deg wide by 3deg long.
95,What is the maximum width for pieces under the minimum width rule for No. 1 Common?,Pieces under the minimum width rule for No. 1 Common can have a maximum width of 3 degrees.
96,How many cuttings are allowed for a surface measure of 1' in No. 1 Common?,1 cutting is allowed for a surface measure of 1' in No. 1 Common.
97,What is the required yield for a surface measure of 3' and 4' in No. 1 Common?,The required yield for a surface measure of 3' and 4' in No. 1 Common is 8/12 (66-2/3%).
98,What is the maximum number of cuttings permissible in pieces of 3' and over in No. 1 Common?,"The maximum number of cuttings permissible in pieces of 3' and over in No. 1 Common can be determined by adding the surface measure of the sizes and dividing by three, dropping fractions."
99,What are the categories of No. 2 Common?,No. 2 Common is divided into two categories: No. 2A Common (clear cuttings) and No. 2B Common (sound cuttings).
100,What is the required yield for a surface measure of 8/12 (66-2/38)?,The required yield is 1 cutting.
101,How many cuttings are required for a surface measure of l' and 3'?,1 cutting is required.
102,How many cuttings are required for a surface measure of l' and 5'?,2 cuttings are required.
103,How many cuttings are required for a surface measure of l' and 7'?,3 cuttings are required.
104,How many cuttings are required for a surface measure of l' and 9'?,4 cuttings are required.
105,How many cuttings are required for a surface measure of l' and 11'?,5 cuttings are required.
106,How many cuttings are required for a surface measure of l' and 13'?,6 cuttings are required.
107,How many cuttings are required for a surface measure of l' and 14' and over?,6 cuttings are required.
108,What is the maximum number of cuttings permissible for pieces of 2' and over?,"The maximum number of cuttings is obtained by dividing the filler measure by two, dropping fractions, except that greater than 6 cuttings should be allowed."
109,What is the maximum number of cuttings permissible for pieces from 2' to 7'?,The maximum number of cuttings permissible is not mentioned.
110,What does No. 38 Common admit in terms of sound curings?,No. 38 Common admits pieces that will yield 3*12 (25%) sound curings not less than 1-1/2 wide and containing not less than 36 square inches.
111,What is the definition of Below Grade?,Lumber poorer in quality than the lowest grade described in these rules shall be called and reported as Below Grade.
112,What is included in the grading of Sound Wormy?,"Sound Wormy shall grade not below No. 1 Common except that the natural characteristics of warm holes, bird packs, stain, sound knots not exceeding 3*4 in diameter are admitted."
113,What kind of defects are admitted in the cutting of Sound Wormy?,Other sound defects which do not exceed in extent as damage the defects described are admitted in the cutting.
114,What is included in the grading of Sound Wormy unless otherwise specified?,"Unless otherwise specified, Sound Wormy shall include the full product of the log in No. 1 Common and Better Sound Wormy."
115,What does the note indicate about the quality of lumber in regards to Sound Wormy?,"The note states that if lower is perceived under specifications containing the new Sound Wormy, the quality of the coming shell should be as defined in the Standard Guide of Sound Wormy."
116,What is the required yield for lumber purchased under specifications combining the norm 'worm holes no defect' with the names of standard grades?,"The required yield shall be the same as specified under Standard Grades, except that worm holes, bird packs, and streaks are admitted without limit."
117,What is the width requirement for No. 38 Common?,No. 38 Common requires pieces that are 1-1/2 wide and containing at least 36 square inches.
118,What is the length range for No. 38 Common?,No. 38 Common has a length range of 4 to 16.
119,What is the maximum diameter allowed for sound knots in Sound Wormy grading?,Sound Wormy grading allows sound knots not exceeding 3*4 in diameter.
120,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
121,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
122,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
123,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
124,What are some common uses of Virginia pine wood?,"Virginia pine wood is commonly used for construction, paneling, and furniture."
125,How long does it take for Virginia pine to reach maturity?,Virginia pine takes about 30 to 50 years to reach maturity.
126,What is the scientific name for Virginia pine?,The scientific name for Virginia pine is Pinus virginiana.
127,What is the natural range of Virginia pine?,Virginia pine is native to the United States and is commonly found in the southeastern states.
128,Is Virginia pine a deciduous or an evergreen tree?,"Virginia pine is an evergreen tree, meaning it retains its needles year-round."
129,What are the preferred growing conditions for Virginia pine?,Virginia pine prefers well-drained sandy or loamy soils and full sun exposure.
130,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
131,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
132,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
133,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
134,What is the growth rate of Virginia pine?,Virginia pine has a moderate growth rate.
135,Is Virginia pine tolerant of shade?,"No, Virginia pine is intolerant of shade."
136,Which region is Virginia pine commonly found in?,Virginia pine is commonly found in the southern states.
137,What is the scientific name of Virginia pine?,The scientific name of Virginia pine is Pinus virginiana.
138,What are the uses of Virginia pine wood?,"Virginia pine wood is commonly used for construction, paneling, and furniture."
139,Is Virginia pine a type of hardwood or softwood?,Virginia pine is a type of softwood.
140,What are the characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
141,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
142,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
143,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
144,What is the grading requirement for the reverse side of the Superiors and Cabinet grade face?,The reverse side grading should not be below Cabinet grade (66 2/3% or 8/12) for both Superiors and Cabinet grade face.
145,What restrictions are there for pieces with pith?,No piece with pith exceeding twice the surface measure in feet shall be admitted.
146,What restrictions are there for pieces with splits?,No piece with splits exceeding twice the surface measure of the piece in feet shall be admitted.
147,What are the ware limitations for Superiors grade on the face side?,Ware or its equivalent should be limited to 1/2 the length in the aggregate on either edge or 1/12 the surface measure of the piece.
148,What are the ware limitations for Cabinet grade on the reverse side?,"Ware or its equivalence should not exceed one fourth the width by three-fourths the length in the aggregate, or pieces may alternately have wane one-third the width by one-half the length in the aggregate. Width of the wane may be divided and show on both edges."
149,What is the maximum side bond allowed for a piece?,"No piece with side bond exceeding 5/8"" shall be admitted."
150,What is the yield for the No.3 / ECONO FRAME GRADE boards?,The yield for No.3 / ECONO FRAME GRADE boards is 33 1/3% structurally sound cuttings.
151,What is the minimum size for curing in the No.3 / ECONO FRAME GRADE boards?,"The minimum size for curing in the No.3 / ECONO FRAME GRADE boards is 3"" wide by 2"" long."
152,What defects are admitted in the No.3 / ECONO FRAME GRADE boards?,"The No.3 / ECONO FRAME GRADE boards admit stains, season checks, slight surface shake, bark pockets, firm right, worm holes, sound knots, and other holes and unsound knots that do not exceed certain dimensions."
153,What is the required width for Pacific Coast Maple boards?,"The required width for Pacific Coast Maple boards is 4"" and wider."
154,What is the required length for Pacific Coast Maple boards?,The required length for Pacific Coast Maple boards is 5' and longer.
155,What is the maximum diameter allowed for knots in Pacific Coast Maple boards?,"Knots or their equivalent, not exceeding 1/4"" in their greatest dimension, are allowed in Pacific Coast Maple boards."
156,What is the maximum diameter allowed for unsound centers in knots of Pacific Coast Maple boards?,"Unsound centers not over 1/8"" in diameter are allowed in knots of Pacific Coast Maple boards."
157,What is the purpose of growing Virginia pine in southern states?,Virginia pine is often grown for Christmas trees in southern states.
158,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
159,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
160,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
161,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
162,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
163,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
164,What is the requirement for full thickness lumber when dry?,"When dry, lumber must be full thickness allowing 10% 1/16"" scan."
165,What is the flatness requirement for the entire board?,"The entire board must be flat enough to surface both sides at 1/4"" less than nominal thickness, no skip allowed."
166,How are defects or blemishes not described in the grading rules considered?,They will be considered as equivalent to known defects according to their damaging effect upon the piece in the grade under consideration.
167,What is the definition of a defect in forestry?,"A defect is any irregularity occurring in or on wood that may lower some of its strength, durability, or utility values."
168,What is the definition of a blemish in forestry?,"A blemish is anything not classified as a defect, marking the appearance of the wood."
169,What is a check in forestry?,"A check is a lengthwise separation of the wood, which occurs usually across the rings of annual growth."
170,What is decay?,Decay is a disintegration of the wood substance due to the action of fungi.
171,What is incipient decay?,Incipient decay is the early stage of decay in which the wood has not softened or changed perceptibly.
172,What is advanced decay?,"Advanced decay is the older stage of decay in which the wood has become soft, spongy, and discolored."
173,What is a peck?,A peck is a form of decay that appears as a hole or pocket surrounded by sound wood.
174,What is the size of a pin worm hole?,"A pin worm hole is over 1/16"" in diameter."
175,What is the size of a medium worm hole?,"A medium worm hole is between 1/16"" and 1/4"" in diameter."
176,What is the size of a large worm hole?,"A large worm hole is 1/4"" in diameter."
177,How are knots classified?,"Knots are classified according to size, form, quality, and occurrence."
178,What is the size of a pin knot?,"A pin knot is over 1/2"" in diameter."
179,What is the size of a small knot?,"A small knot is between 1/2"" and 3/4"" in diameter."
180,What is a medium knot?,"A medium knot is one over 3/4"", but not more than 1-1/2"" in diameter."
181,What is a large knot?,"A large knot is one over 1-1/2"" in diameter."
182,How would you describe a round knot?,A round knot is one oval or circular in form.
183,What is a spike knot?,A spike knot is a branch or limb saved in a lengthwise direction.
184,How is a round knot characterized?,"A round knot is solid across its face, as hard as the surrounding wood, and shown no indications of decay. It may vary in color from red to black."
185,What is the impact of an unsound knot on the board?,An unsound knot will not impair the strength of the board.
186,How can you identify a decayed knot?,A decayed knot is softer than the surrounding wood and contains advanced decay.
187,What is a tight knot?,A tight knot is one to fixed by growth or position that it will firmly retain its place in the piece.
188,Define an inner-right knot.,An inner-right knot is one whose rings of annual growth are completely intergrown with those of the surrounding wood.
189,What is a water-tight knot?,"A water-tight knot is one whose rings of annual growth are completely intergrown with those of the surrounding wood on one surface of the piece, and which is sound on that surface."
190,What is a slight shake?,A slight shake is one with more than a perceptable opening but not over 1/32 in width.
191,What is a medium shake?,A medium shake is one with an opening over 1/32 but not more than 1/8 wide.
192,What is an open shake?,An open shake is one with an opening over 1/8 wide.
193,What is a through shake?,A through shake is one extending from one surface through the pierce to the opposite surface or to an adjoining surface.
194,What is a round shake?,A round shake is one completely encircling the pink.
195,What is a cup shake?,A cup shake is one that does not completely encircle the pink.
196,What is a split?,A split is a lengthwise separation of the wood due to the tearing apart of the wood cells.
197,What is a short split?,A short split is one not exceeding in length either the width of a piece or one-sixth its length.
198,What is a medium split?,A medium split is one exceeding in length the width of a piece but does not exceed one-half its length.
199,What is a long split?,A long split is one exceeding in length one-half of the length of the pierce.
200,What is stain or discoloration?,"Stain is a discoloration, occurring on or in lumber, of any color other than the natural color of the pierce, on which it appears. It is classified as light, medium, and heavy."
201,What is a light stain?,Light stain is a slight difference in color which will not materially impair the appearance of the pierce if given a natural finish.
202,What is a medium stain?,"Medium stain is a pronounced difference in color which, although it does not obscure the grain of the wood, would customarily be objectionable in a natural but not in a poisoned finish."
203,What is a heavy stain?,Heavy stain is a difference in color so pronounced as practically to obscure the grain of the wood.
204,What are some characteristics of Virginia pine?,"Virginia pine is intolerant of shade, has a moderate growth rate, and is a hard pine."
205,How tall does Virginia pine grow?,Virginia pine grows to a height of 40 to 60 feet.
206,What is the diameter of a mature Virginia pine?,A mature Virginia pine attains a diameter of 1 to 1.5 feet.
207,What is Virginia pine often grown for in the southern states?,Virginia pine is often grown for Christmas trees.
208,What is the minimum size board for No. 1 Common?,The minimum size board for No. 1 Common is 4 inches x 8 inches.
209,What are the uses of No. 1 Common?,"No. 1 Common is useful for general construction, finish, trim, pattern stock, and other applications."
210,What is the primary use of No. 1 Common?,No. 1 Common is primarily used as the poor face of a Select and Better board.
211,What manufacturing defects are allowed in No. 1 Common?,No. 1 Common allows medium manufacturing defects as defined in certain paragraphs.
212,What is the maximum average diameter of knots allowed in No. 1 Common?,The maximum average diameter of knots allowed in No. 1 Common varies based on the width of the piece.
213,What is the height range of a Virginia pine?,The height range of a Virginia pine is 40 to 60 feet.
214,What are the characteristics of No. 2 Common grade?,"No. 2 Common grade admits unlimited diameter, sound or unsound knees, pink knees, and slight peck. It must be suitable for ordinary fencing or dimension purposes."
215,What is the minimum size board required for No. 2 Common grade?,"The minimum size board for No. 2 Common grade is 4"" x 6"" on even 2' increments."
216,What is the limit for checks that do not impair the strength of the piece in No. 2 Common grade?,"Checks not extending through the piece shall be admitted without limit, as long as they do not impair the strength of the piece."
217,What is the limit for shake in No. 2 Common grade?,Shake is limited to one face only and no more than 10% of the length of the piece in the aggregate.
218,What is the maximum allowable ware on the board face in No. 2 Common grade?,Ware on board face should not exceed 1/2 the thickness or 1/3 the length and 1/6 the width of the piece.
219,What is the requirement for ware on the poor face in No. 2 Common grade?,"Ware on the poor face must not extend through the full thickness of the piece, leaving an 1/8"" ruling edge on the good face."
220,What is admitted in terms of splits in No. 2 Common grade?,Split equal to the length of the piece in inches is admitted.
221,What is the policy on open holes in No. 2 Common grade?,No open holes are permitted in No. 2 Common grade.
222,What are the requirements for No. 1 Peck grade?,"No. 1 Peck grade requires a minimum of 10% well-distributed peck on the face side, with no light showing through the peck."
223,What are the requirements for No. 2 Peck grade?,No. 2 Peck grade includes pieces that are not allowed in No. 1 Peck due to the fact that the peck allows light to show through. Each piece must still be suitable for ordinary handling and construction without breakage.
224,What does the Model Stare Regulation specify?,"The Model Stare Regulation specifies that sales of hardwood lumber measured after kiln drying shall be quoted, invoiced, and delivered on the basis of net board footage, with no addition of footage for kiln drying shrinkage."
225,How should sales of hardwood lumber be measured if kiln dried?,"Sales of hardwood lumber measured after kiln drying should be quoted, invoiced, and delivered on the basis of net board footage, with no addition of footage for kiln drying shrinkage."
226,How should sales of hardwood lumber be measured if before kiln drying?,"Sales of hardwood lumber measured prior to kiln drying should be quoted, invoiced, and delivered on the basis of net board footage before kiln drying."
227,What should be done if the purchaser requests kiln drying?,"If the purchaser requests kiln drying, the kiln drying charge should be clearly shown and identified on the quotation and invoice."
228,What should NHLA members do regarding the Model Stare Regulation?,NHLA members are cautioned to consult applications of the states in which they do business regarding the Model Stare Regulation.
229,What will National Inspectors do when inspecting kiln dried lumber?,National Inspectors will make no addition for estimated kiln shrinkage when inspecting kiln dried lumber.
230,Which grading rules apply to kiln dried lumber?,"The grading rules for air dried lumber will be applied to kiln dried lumber, unless otherwise specified."
231,What are the allowances for scant lumber in the Standard Kiln Dried Rule?,"Rough kiln dried lumber specified 3/8"" to 1-3/4"" thick may be 1/16"" scant of the nominal thickness, 2"" and thicker may be 1/8"" scant, and the 10% of scant lumber admitted by Paragraph 36 may be 3/32"" scant on one side in 1"" to 1-1/2"" lumber and 3/16"" on one side in 2"" and thicker."
232,What are the minimum widths allowed in all grades of kiln dried lumber?,"The minimum widths mentioned in all grades of kiln dried lumber may be 1/4"" scant in width, and the 10% admitted by Paragraph 10 may be 1/2"" scant in width."
233,How will National Inspectors mark certificates under the Standard Kiln Dried Rule?,National Inspectors will mark certificates under the Standard Kiln Dried Rule specifications as 'Standard Kiln Dried Rule Applied.'
234,What is the purpose of kiln drying hardwood lumber?,The purpose of kiln drying hardwood lumber is to minimize dimensional changes and remove moisture.
235,How is moisture content of wood usually expressed?,Moisture content of wood is usually expressed as a percentage of the weight of water in the wood to the oven dry weight of the wood.
236,What is considered as green or partly air dried lumber?,Lumber with a moisture content above 30% is considered as green or partly air dried lumber.
237,What is the moisture content of air dried lumber?,The moisture content of air dried lumber is generally from 15% to 30%.
238,What is the desired moisture content for kiln dried hardwood lumber?,Kiln dried hardwood lumber usually has a moisture content of 6% to 10%.
239,What is the purpose of custom kiln drying?,Custom kiln drying is a commercial agreement between the kiln operator and the owner of the lumber.
240,How much shrinkage can occur in kiln drying hardwood lumber?,"Shrinkage of hardwood lumber in kiln drying varies from about 3% to 9%, depending on species and initial dryness."
241,What can cause degrade in kiln drying?,Some degrade can occur in kiln drying.
242,Where can one find technical references on kiln drying?,Technical references on kiln drying can be found at the Forest Products Laboratory and the Dry Kiln Operators Manual.
243,Where can the Wood Handbook be obtained?,The Wood Handbook can be obtained from the Forest Products Laboratory.
244,What is the purpose of inspecting surfaced lumber?,Surfaced lumber is inspected to determine its grade and quality.
245,What determines the grade of surfaced lumber?,The grade of surfaced lumber is determined from the better face of the piece.
246,What are some exceptions to the inspection rules for surfaced lumber?,"The reverse side of cuttings in FAS and No. 1 Common grades are not required to be sound. Skips, chips, and teen grain may be admitted within certain limits."
247,"What is the maximum aggregate area allowed for skips, chips, and teen grain on the better face of FAS cuttings?","The maximum aggregate area allowed for skips, chips, and teen grain on the better face of FAS cuttings is 6 inches long by the width of the piece."
