,Question,Answer
68,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: redwood",True.
69,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: White Oak group",True.
70,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: Yellow-poplar",True.
71,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. tallest tree on earth B. Spruce that was discussed, that is native only to eastern U.S. C. Aggregate of smaras D. Also called Aborvitae E. Tyloses Question to Answer: northern white-cedar",True.
72,,N/A
73,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer:  American Sycamore",True.
74,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer: Paulownia tomentosa",True.
75,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer: Betulaceae family",True.
76,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer: Alnus Rubra",True.
77,"Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Pink to Purple flowers, invasive B. Most important hard wood in the pacific northwest C. Pencil Stock D. also called buttonwod E. Corylus Question to Answer: Calocedrus decurrens",True.
78,,N/A
79,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: Once used for makin gbaskets,True.
80,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: pinus Taeda,True.
81,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: Larix occidentalis,True.
82,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: Abies,True.
83,Direction: Place the letter of the best match from the right-hand list in the blank next to the item in the left-hand list below A. Suction cup like case B. Protetion of hihg altitude watersheds C. Salix nigra D. loblolly pine E. fastest growin gof all the southern pines Question to Answer: Pilus elliottii,True.
84,,N/A
85,"Fill in the blank: In lecture, one tree that survived a nuclear bomb blast and consequent radiation poisoning was discussed. This tree is a ___________ (give the common or scientific name of the species). In which country is this tree located? _________",True.
86,Fill in the blank: People from Islands of ____________ made W’akaulua using drift wood from ________ __________ species (given the scientific name).,True.
